id,manual terms,role,feature,benefit,
577,,person who appreciates convenience,"a smart chair that knows who is sitting in it, then turns on the tv/entertainment system based on that individual's preferences, then turns if off or pauses media when I stand up","I can save energy from my entertainment, and also have my preferences loaded instantly when I sit down.",
578,,person who is concerned about health,"smart plates for food that can determine what type of food I've placed on it, and aggregate nutritional information to be displayed on a smart table while I'm eating",I can prepare healthy meals and keep track of my nutritional intake.,
579,,person who doesn't wake up easily in the morning,"a smart alarm clock that knows my name and talks to me, convincing me to wake up, and reminding me of my appointments for the day that I'm going to be late for. Maybe it could talk with my smartphone about how lazy I'm being, and how we go through this every morning.",I could be motivated to wake up with ease.,
580,,person who's concerned with energy consumption,"a smart dryer that can determine when my clothes are dry, then turn itself off and send me a notification on my phone","I'm not wasting energy by over-drying my clothes, and I'll know when to change loads.",
581,,person concerned with energy consumption,smart outlets for my electronics that can be programmed individually to completely cut power on specific electronics when they're not in use,I'll know that I'm not wasting any unnecessary electricity,
582,,person who appreciates efficiency,a smart washing machine that can order its own detergents/supplies when needed,I'll always have laundry supplies without having to think about it,
583,,person who always likes to have a new look,"a smart closet, with smart hangers, that can tell me the last time I wore the clothing that's hanging from a specific rack",I can easily pick my wardrobe for the day,
584,,person concerned with health and safety,"smart faucets on my sink that monitor the water for pollutants, and alert me if any new threats are found","I can know that I'm drinking clean, healthy water.",
585,,person who often loses things,smart floors and furniture that can tell me if a small object is resting somewhere it shouldn't be (like if I couldn't find my keys),"I can review where misplaced objects are located, and find them",
599,,tv watcher,recommendations of new tv shows,i can know what is new,
600,,home occupant,Automatic doors,cool temperature can be kept in during the winter/warm temperature can be kept out without hassle,
603,,tv watcher,to know when I am about to fall asleep,I do not watch too much tv,
605,,home owner,my smart home to let me know the best way to maximize my living space,I can remodel or rearrange my house accordingly  ,
606,,parent,to know when my kids are leaving the house,I can know what they are up to,
607,,pet owner,my smart home to clean my cats's litter box whenever its soiled,I don't have to breathe in the fumes from the litter box,
608,,home occupant,Automatic lights,"all the lights' temperature, shade, and position can be controlled with an app",
609,,parent,to know when my children are not feeling well,i can take them to hospital,
611,,home occupant,an alert when someone drives up to my house.,I can put the dogs out back and don't have to listen to all the barking.,
612,,parent,to know when there is an intruder,I can call the police,
613,,home owner,my smart home to let me know how money I am saving on Energy,I can keep track of my energy usage,
616,,home occupant,sensor to let me know if there are unpleasant odors and the area they come from,my house always smells good,
617,,home owner,my smart home to keep track of my food consumption,I can keep track of my grocery shopping,
618,,home owner,when the plants need to be watered,they can remain healthy,
620,,home occupant,an alert when there is smoke in the house.,I can get out.,
621,,home occupant,Smart surveillance systems,cameras can be added and looked at on a smartphone while the home owner is away,
622,,home occupant,my smart home to adjust the temperature depending on if someone is home or not,I save energy and money on my gas bill,
623,,parent,gas leak,I can get it fixed,
624,,home occupant,electronic windows,I can open the window with my phone when I am not home,
625,,home owner,my smart home to keep track of my scheldule,I will not be late and know what I have to take care of,
627,,home occupant,Moisture and humidity sensor,I can get the ideal temperature while being able to save the most amount of money,
628,,parent,my smart home to keep track of my kids school grades,I can keep up to date with their education,
629,,man,to know when I need to exercise,I can be healthy,
631,,man,when I should go to sleep,I cannot waste time and be healthy,
632,,parent,my smart home to remind me of any activities my kids need to go to,I don't forget,
633,,home occupant,built in clocks in the tv's in each room,I will know what time it is when I am watching tv,
634,,home occupant,Automated cleaners,I don't have to worry about cleaning the floor/tiles etc. ,
635,,home occupant,an energy feature that tells me when I have used a certain amount of electricity.,I can conserve electricity and save money.,
637,,parent,to know what my children are doing,I can monitor their activities,
638,,home owner,My smart home to keep me entertained,so that I do not get bored,
639,,home owner,my washing machine to measure the adequate amount of soap I need and water I need to wash a given load of laundry,save water and save money on water and soap,
640,,home occupant,to turn off the air conditioner when I am away from home,I can save energy,
641,,home owner,my television to alert me when someone calls the home line,I don't miss a call when I have the TV blasting.,
642,,home owner,my smart home to keep track of my health,I can stay healty,
643,,home occupant,a sensor in the refrigerator that light up the container if food starts going bad,so that there will be no sickness,
645,,home occupant,Controllable applicances,I can control the power supply to all appliances and turn it off in order to save energy,
646,,parent,control who my children open the door for when the doorbell rings,they don't inadvertently let in anyone suspicious or undesired,
647,,home owner,My smart home to help me keep track of what my responsibilities are,I wont forget what I need to do,
648,,mother,"my baby's crib to alert me when my infant wakes up, via my iphone or apple watch",I don't have to use a baby monitor.,
649,,home occupant,automatic lights,the lights would come on before I came in the house.,
650,,home occupant,Automatic music,I can listen to different genre of songs that play at specific times throughout my daily routine,
651,,home occupant,a washer that you can set a timer to start when you are ready,I can have the load start right before I get home so that it doesn't have to sit all day,
653,,pet owner,My smart home to keep track of my pets health,they will remain healthy ,
654,,parent,to control what electronic devices my children have access to when I am away from home,their use of electronic devices is in keeping with household rules for safety.,
655,,home owner,my television to turn on and off with the sound of my voice,i don't need to use a remote control,
656,,home occupant,something that would turn on music by the sound of my voice.,I won't have to get up to turn it on.,
658,,home occupant,Alarm Clock,I can choose from a variety of different sounds that would play in the mornings at a specific time, this alarm clock would also contain specific features that would force me to wake up
659,,home owner,my mailbox to lock when it senses the mailman has filled it with mail,no one steals my mail,
660,,dog owner,my iphone to alert me when my dog is distressed/barking via a smart collar,I can check on my dog when I am not home,
661,,home occupant,built in smoke detector and carbon monoxide detector with alarms,I know if something is in the air it will alert me,
663,,home occupant,Automated cookers/crock pots,I can control various appliances and therefore the food I make while I'm not at home using a smartphone app,
664,,home occupant,to be able to set the temperature of my shower water.,I can have it hotter or colder.,
665,,cook,a notification via my phone/smart watch letting me know when my food is ready,I can concentrate on other things and keep the food from burning or cooking to long.,
666,,home occupant,sensors that tell me if someone or something leaves my house,I know if my kids are going outside if I am in another room,
667,,home owner,monitor packages left on my front porch/doorstep,"I know if they have been taken by someone other than myself, and if so, by whom.",
668,,home occupant,Smart Beds,"I can have improve my sleep quality because of a smart bed that is able to track breathing, heart rate, movement, etc ",
669,,car owner,to be able to start my car from inside the house.,it can warm up in winter time.,
670,,home owner,I want my smart home to sync with my phone such that if I am in danger the police can be notified,I don't need to use my phone to call the police,
671,,home owner,my air conditioning unit to purify the air in my home and report the air quality,I can ensure my family is breathing healthy air,
672,,home occupant,an oven that comes on at a certain time,I can place my food in the oven and it'll be ready when I get home,
673,,home owner,my house to alert me by text if motion inside is detected while I'm gone,I can alert authorities to intruders,
674,,parent,to receive a text if the fridge is opened,I can monitor what my kids are eating.,
675,,home owner,my phone to alert me if carbon monoxide levels are outside of the normal range,I can ensure that everyone in the house evacuates and is safe.,
676,,parent,an alert that lets me know when my wi-fi or home internet is accessed,"I can monitor who is accessing these, when and for what purpose",
677,,home occupant,my television to turn on my favorite shows when I walk in the room,I can proceed with my morning routine,
678,,home owner,to be alerted if I've gone over an energy usage threshold for heating or A/C,I can make adjustments to save money and energy,
679,,home occupant,a freezer that has an alarm that goes off if the power isn't working,I will know in time to save my stuff,
680,,home owner,my music player to work in conjunction with the lights,to set the mood for when I am entertaining,
682,,parent,an alert when my child is getting close to the oven or places they shouldn't be.,I can keep them safe.,
683,,home owner,to receive a preliminary text about the smoke detector before it actually goes off,I can ensure that it isn't just because I'm cooking something in the kitchen,
684,,wife,my laundry machine to alert me via phone notification when the cycle is complete,I can use my time to concentrate on other chores and maximize the laundry I can do.,
685,,home occupant,a closet that straightens up the coats as we throw them in there,It is more tidy,
686,,home owner,to receive an alert if I've left the oven or stove on after I've finished cooking,I can make sure that nobody gets burned and so I can save money on energy.,
687,,nanny,"to access emergency contacts at the touch of a button, even away from the home",I can save time in case of an emergency,
688,,wife,my dryer to alert me via phone notification when my dryer has completed,I can use my time to concentrate on other chores and maximize the laundry I can do.,
689,,parent,an alert when my teenager comes home at night.,I know they are safe.,
690,,home occupant,an alert that lets me know when the refrigerator is left open,I can save energy,
691,,home owner,to control the temperature of my water heater,I can save energy costs.,
692,,home owner,to receive an alert if it's going to rain and I have a door or window open in my home,I can close the door or window and keep things from getting wet.,
694,,home owner,to be alerted if the water from the faucet contains too many minerals or impurities,I can get it fixed or begin to filter my water from the tap,
695,,home owner,to be able to turn on the lights in my house when I am not home,I can make it appear that someone is home.,
696,,parent,my smart home to open for my latchkey kid after school via voice command,my son doesn't have to carry a key,
697,,home occupant,the heat to automatically adjust when people enter or exit a room,I can save energy,
698,,home occupant,bath water temperature to be automatically set to warm ,I do not have a cold shower or burn myself,
699,,home owner,cameras throughout the home,I can observe who is present before I enter,
700,,home owner,to be alerted if the fridge and freezer temperatures go outside of a certain range,I can ensure my food isn't going bad due to high temperatures or being frozen due to low ones.,
701,,home owner,a showerhead that alerts me when I use more than an amount predetermined by me,I can save on my utilities and conserve water,
702,,home owner,to receive an alert if motion is detected on my driveway or front doorstep,I can know that I have visitors and not miss deliveries or packages,
703,,home owner,to be able to receive a notification via my smart watch/phone when someone or a vehicle enters the driveway,i can know when someone is outside,
704,,parent,my smart home to limit my son's internet and video game usage,he doesn't overdo it with the electronics and can spend his time more wisely / go to be at a reasonable hour,
705,,home owner,an alert automatic locks on the doors,they could all be locked at once.,
706,,home occupant,an alert that lets me know when I've left the oven on when not in use,I can prevent a fire and save energy,
707,,pet owner,an alert that lets me know when electric wires are chewed/exposed,I can prevent a fire and/or other danger,
708,,home occupant,TV to turn on when i enter the room and to use voice commands to control it,I can easily relax,
709,,home occupant,self retracting sky lights,sunlight can help to heat the home or prevent it from entering to keep it cool,
710,,home owner,doors that lock automatically in the evening,I don't ever forget to lock them before bed,
711,,home owner,my smart home's windows to darken in response to the amount of outdoor light,I save money on my heating/electric bill,
712,,home occupant,automatic lighting,I don't have to always remember to shut lights off when I leave a room,
713,,home owner,a central heat and air system that knows the weather outside and adjusts itself accordingly,I can save money and enjoy more comfortable inside temperatures.,
714,,home owner,voice activated virtual assistant,"I can get up to date on news,weather, and sports without checking television or social media.",
715,,home occupant,water usuage detection,I can see if any major changes occur.,
716,,home occupant,automatic window defrosters,I can see outside when there is bad weather.,
717,,home owner,my smart home to ring a bell at meal times,I don't have to call each and every person separetely,
718,,home owner,an app that lets me manage my AC/Heater,I can turn it off and on even if I am outside.,
719,,home owner,music that automatically plays when in the shower,I always have good tunes to listen to while getting clean,
720,,home occupant,retracting blinds,my energy usage is reduced,
721,,home owner,an app that lets me manage my stove/gas,I can turn it off and on even if I am outside.,
722,,home occupant,my gate to know who's entering,I can be aware that I know them.,
724,,parent,a TV that locks itself after it's kids bed time,they can't turn it on even if they try.,
725,,home owner,automatic lights,I never have to mess with light switches again. (and save energy in the process),
726,,health conscious person,an app that rings when my vitamins are due,I don't miss them.,
727,,home occupant,automatic floor warming,feet don't get cold ,
728,,music lover,an app that can sense my mood,"I don't have to change songs, rather it plays songs according to my mood automatically",
729,,home owner,tiles that absorb the water in washrooms after shower,it is safe to walk in the washroom after taking shower and I don't have to dry it manually.,
730,,home owner,tiles that can sense water,so that I can clean the water right away and no one slips.,
731,,home occupant,fingerprint scanner for front door,"I don't need keys, and to keep burglars away.",
732,,home owner,a refrigerator that tracks how long milk has been inside,I never have to drink sour milk again,
733,,home owner,lights that starts fading out and then finally turn off if I fall asleep,energy is saved and they are not on till morning.,
734,,home owner,a toilet that senses how much to flush and automatically does that,I touch the toilet less and save energy by appropriate flushing,
735,,home occupant,automatic blind shut,I won't have to get up to shut blinds and people can't see inside,
736,,home owner,speakers throughout the house that sense which room I'm in and play in the appropriate room,I can have music wherever I go,
737,,parent,carpets that can sense when my kid is about to fall,so that he/she doesn't fall on ground rather a carpet appears and he doesn't get hurt.,
738,,home occupant,temperature control in each room,unused rooms aren't wasting energy,
739,,home occupant,solar panels to power the whole house,I can save more money on electrical bills,
740,,home owner,a door lock that can have temporary access codes added that I can share with others,I don't have to lend someone a spare key and the code will expire after a certain amount of time so I can revoke access,
741,,parent,automatic sanitized door knobs and faucets,is one less way to get sick,
742,,home owner,a refrigerator that lets you speak a grocery list and automatically transcribes the items and emails them,you never forget the little things at the store again,
743,,home occupant,an alert system,I can be reminded when my favorite shows are on.,
744,,home occupant,sensors,they know where I am in the home and can move music as I move.,
745,,home occupant,the lights to turn on when i enter and off when i leave a room,energy is not wasted,
746,,host,my smart home to identify party guests at the door before I open it,can welcome them in a personalized manner.,
747,,pet owner,my smart home to block off areas of my house from pet access at specific times of the day,I can sleep peacefully without my cats pawing at me,
748,,cook,my smart home to keep track of the quantity of specific ingredients I have,I may be alerted to potential shortages before making a dish,
749,,busy cook,my smart home to be able to order food items I commonly use when I am running short,I don't have to worry about running out of butter or flour or other pantry items,
750,,pet owner,my smart home to regularly track the weight of my animals with a scale hidden at the cat flap,"I may be alerted to significant changes in my animal's weight, which could suggest health issues.",
751,,pet owner,my smart home to verify the identify of my pets before letting them in,I don't have to worry about stray animals entering through the cat flap/door,
752,,person who wants to diet,my smart home to track what items I am removing from the pantry and fridge,I can be more informed of my current food intake,
753,,busy person,a keyless entry system,I don't have to spend time fiddling with the keys to my home,
754,,home owner,the ability to track humidity levels in each room of my house,I can take preventative measures against mold growth in areas where mold risk is high,
755,,host,my smart home to keep track of my guests favorite foods,I can be a better host by offering these foods again or similar ones,
756,,renter,my smart home to monitor my utility usage and costs.,That I can stay on budget for the month.,
757,,person who cooks.,my smart home to notify me immediately if I leave the house without turning off the oven or leave food in too long.,I can stay safe and not waste money on burnt food.,
758,,person who invites people over.,my smart home to have voice recognition features that allow me to voice active TVs and music.,I can entertain my guests more easily.,
759,,pet owner,a smart home that notifies me if my pet sneaks out of the house.,so that I can make sure they don't wander away and get lost.,
760,,pet owner,my smart home to notify me when food and water levels in my pets dishes are low.,I can track how much my pets are eating and always make sure I don't leave them without food.,
761,,home owner,I want lights to come on automatically when I am in my backyard or on my deck.,I can more easily enjoy these features of my home.,
762,,person concerned about the environment.,my smart home to track my energy usage by the specific environmental impact my different utilities have.,I can more efficiently conserve my energy usage in the most beneficial way.,
763,,person with allergies.,my smart home to track different allergens in the air including part hair and dust particles.,I can know better when I need to be mare careful about my allergies and those of my guests.,
764,,new parent.,my smart home to track when different baby gates have been opened.,no one accidentally leaves access to the stairs open for my child. ,
765,,person with roommates.,my smart home to track how much in utilities each occupant uses.,we can know how to divide costs of utilities more fairly. ,
766,,runner obsessed with nutrition,"my kitchen table to tell what to cook for dinner based on my running schedule and what I have on the fridge, and then show me how to cook it","I can save time from going through my fridge and trawling the internet for recipes, thus saving me time.",
767,,home occupant,my plants to tell me if they need watering,I will water them,
768,,home occupant,my thermostat to detect my body temperature and location in the room,it will heat or cool the room where I am and not the entire house,
769,,home occupant,my bed to detect my sleep patterns,so that it knows when to wake me up based on the quality of my sleep,
770,,parent,my family portraits in the living room to be interactive,so that they tell me whether my kids have safely arrived at school or somewhere they should be,
771,,stock investor,an orb lamp that glows the daily ups and downs of my portfolio,"so that I can know in simplest visual terms the swings in my stocks, should I want to",
772,,grandmother who takes care of a 12-year old grandson,my smart home to notify me via my smart phone and shows me his picture when he opens the front door,I know that he gets home safely from school.,
773,,tv viewer,"my tv to determine my mood based on my emails, text, social media postings and phone calls, and day of the month and other factors",so that it can recommend a mood-appropriate show for me,
774,,home occupant,my pet feeder to let me know when the container is empty,I can refill.,
775,,home occupant,"my entire house to detect subtle hints of psychological abnormalities, whether depression or unknown genetic defects, that get express through small but still perceptible physical irregular movements",my primary care physician is alerted very early,
776,,home occupant,a smart home to send me a text via my smart phone when it is time to change ac and heater's filters,I can change them on a timely manner.,
777,,home occupant,my house to archive where everything is located,so that it knows everything and tells me immediately when I want to know where I'd put my keys or a vacation polaroid I took in 1987 but last seen in 2005,
778,,home occupant,my bread machine to start automatically and be ready in the morning,I can have bread for breakfast,
779,,home owner,my thermostat to set itself to my ideal temperature when it detects my present,"I can relax knowing the thermostat is not too high or low, and just right for my comfort.",
780,,homemaker,my robotic vacuum cleaner to start automatically twice a week,my house is not dusty,
781,,home occupant,my windows to detect sound waves,so that it will cancel them out with sound waves created by deforming itself,
782,,occupant,"all devices in my office, that I need for work, to turn on at a specific time",I don't need to go through the process of turning everything on and off when I need to work.,
783,,homemaker,my swimming pool to clean itself on a periodic basis,it is always clean,
784,,home owner,"my lights and tvs to turn on automatically when I am not home, and it detects an intruder","the intruder will think that there is someone home, and it's not safe to break into my home.",
785,,husband,"my bathtub to automatically fill, and set itself to hot temperature and add a bubble bath solution at the push of a button.","when i am being romantic with my wife, we can head to the tub, without the need for interruption.",
786,,home occupant,a voice activated warning when the energy cost is more than certain amount,I can tell everyone to be careful with their use of energy,
787,,home owner,"A lawn mower device to automatically cut my grass when it detects it is above a certain height, similar to a roomba vacuum robot.","I can relax and focus on the things that are important, like cooking and eating with my family.",
788,,driver,my smart home to tell me when my car needs gasoline,I will not run out of gasoline,
789,,home owner,"an automated cleaning device to get my pool ready when it detects the temperature outside is becoming warm, and automatically test the Ph of the water and apply the necessary chemicals.","When I come home from work, I can hop into the pool with my family without having to spend hours cleaning it before hand.",
790,,home occupant,my smart home to inform me when my favorite ice cream is almost gone,I buy more ice cream,
791,,home owner,a refrigerator and freezer that automatically lets me know when food is about to expire and provides me recipes based on what I have in the fridge and freezer.,"I don't have to struggle trying to think about something I can make for dinner that is on hand, and worry about not having a certain ingredient.",
792,,cook,"a pantry and cabinets that keep track of my current stock of food, and let me know when I am running low and possibly even order some automatically through a service like amazon for me when I run out.","I will always have the necessary pantry items for breakfast, lunch, and dinner, and have less to worry about when I head to the grocery store for fresh items.",
793,,occupant,"a coffee machine that automatically knows how many people are in my house, and prepare the proper portion of coffee for those people",there is enough coffee for everyone right when we wake up in the morning.,
794,,home occupant,my alarm system turns on and off automatically at preset times,I do not forget to turn on the alarm at night,
795,,occupant,"An all in one device that is capable of washing, drying, and folding my clothes","I can worry about spending more time with my family, and having to worry about more things to do when I get home from work.",
796,,parent,My home to be able to monitor time spent per room in my home,I can better monitor my family and their activity habits so that I can form a more cohesive family.,
797,,home owner,To be alerted when certain groceries are used,I can automate my shopping list,
798,,home owner,My home to alert me to possible damage,I can keep up to date on repairs,
799,,home owner,To be able to access my home from away from home,I can keep tabs on what is happening,
800,,home owner,My home to alert me to changing environmental issues,I can keep my family safe,
801,,parent,My home to alert me to dangerous situations in my surrounding area,I can keep my family safe.,
802,,pet owner,My home to start the self cleaning litter box for me,I don't have to keep tabs on my cat,
803,,cook,My kitchen to alert me when I leave an appliance on that shouldn't be,I can keep my home safe.,
804,,home owner,My home to alert me to my favorite shows and DVR them for me when I am not home,I don't miss an episode,
805,,home owner,My home to monitor my energy usage,I can better use my energy.,
806,,dog owner,the ability to monitor my dog's water bowl,I know when it should be filled,
807,,flower enthusiast,to have my plants watered regularly,they live for their maximum lifetime,
808,,home owner,lights to automatically turn off when I'm not present,I conserve energy efficiently,
809,,sports enthusiast,my television to turn on when my favorite sports team plays,I can watch them immediately when they start,
810,,mother,to be alerted when my child starts crying,I can take care of my child more quickly,
811,,clean freak,doors to shut automatically if I leave them open unattended,I can feel better about the cleanliness of my house,
812,,early riser,coffee to be made every morning at 7 AM,I can leave on time,
813,,home owner,my gutters to clean themselves when full,our gutters can be clean more,
814,,home owner,my external doors to automatically lock after 30 seconds,I can feel safe in my home,
815,,cook,my oven to clean itself periodically,I can use it more frequently,
817,,artist,to be able to play around on softwares between screens around my house,I can work more efficiently,
818,,cook,devices to help me prepare food quickly,i can save prep time,
819,,cat owner,a self cleaning litterbox,i don't have to clean it every day,
821,,home owner,music that moves with me into the next room,i can enjoy music and still hear it well no matter what i am walking around doing,
822,,home occupant,to be able to turn off my stoves ,just in case I forgot to turn it off when I left home,
824,,home owner,a way to switch what i'm watching on one screen to move to another room,i can pick up where i left off on a movie/etc on another device,
826,,parent,my kids activities to be monitor with the help of technology ,I can find out his what is wrong with his habits ,
828,,home occupant,my pool pump to automatically turn on for a set amount of time that I set,my pool stays clean and I don't waste energy by having the pump on for to long.,
829,,home owner,a digital way to view my wardrobe and select pieces to make an outfit and have them brought to me,i can pick an outfit more efficently without trying things on endlessly,
830,,home owner,I want My bore well to indicate the water ground  level so that it can pump the water automatically when it is required ,water saving ,
832,,home occupant,to open my garage door ,I can save on time and energy,
833,,home occupant,my tv to turn on when my selected show are on,I won't miss my favorite shows,
834,,home owner,"something that tracks what my body needs nutrition-wise throughout the day by monitoring me every morning, and can alert me when i might be getting sick",i can better take care of myself,
836,,home occupant,"my walls to take the design, color, or pattern of my choosing at any time, selected from my smartphone.",I can easily customize my home.,
837,,home owner,to check the purity and quality of my water i use for drinking ,there wont be any health problems,
838,,home owner,lights and electronics that sense when i've fallen asleep and adjust automatically,i can save energy,
839,,home occupant,my coffee machine to turn on at 6:45 am,my coffee is ready when I get out of bed.,
840,,home occupant,an alert to my phone when a package is left on my doorstep,I know to pick it up and will know if it goes missing.,
841,,home occupant,to have wifi coffee machines,I can easily brew coffee with an app,
842,,home owner,doors that open via sensor if my hands are full,i can carry large loads to other rooms more efficiently,
844,,home occupant,my driveway lights to be turned on when sun goes down,when I get home it is safe pulling into my driveway.,
845,,home owner,a device that can mix cocktails and allows me to choose what i want made,i can entertain better,
846,,home owner,my electricity should be monitored with the help of daily report to my mobile automatically ,i can save energy ,
847,,cook,"weekly meal plans to be automatically generated based on my nutritional needs and preferences (as well as those for my family,) and for a shopping list to be generated to obtain needed items",I can always know the best meals to prepare for myself and my family.,
849,,home occupant,an alert when my dog is standing by back door,I know that I need to let them out.,
850,,home occupant,to control temperature and spray of my shower,so that I can save on energy costs.,
851,,home occupant,A big tv in the attic that can move into whatever room I'm in,I could watch tv at any room ,
852,,home occupant,"an inventory to be taken of my groceries and personal items, and a shopping list to be automatically sent to my smartphone.","I always have the items I need, and know when I am running out.",
853,,home owner,my smart home to notify me whenver water is leaking from a faucet,I don't waste water and get a big bill.,
854,,pet owner,to monitor my pets health problem automatically with detecting device  ,i can save my pets life,
855,,home occupant,my heated floors to turn on at 6:45 am ,they are heated once I get out of my morning shower.,
856,,home occupant,to be able to control the brightness of my rooms and turn off automatically when I leave the room,I can save on energy costs,
857,,home occupant,a machine operated bed ,I could move around while in bed,
858,,home occupant,to be alerted when someone enters my property,I can be aware of someone approaching.,
859,,home occupant,"my mail to be automatically taken into the house, and sorted by relevance and type",I can ignore junk mail,
860,,home owner,to be alerted when my energy usage appropaches an amount I set for the month,I can lower my bill.,
861,,parent,my kids internet and home works should be monitored with the help of my mobile phones,i can control them from work,
862,,home occupant,A device to wash stove and tables,I wouldnt have to wash,
863,,home occupant,surfaces to automatically detect and report sanitation levels in real time,I know what I really need to clean and when,
864,,home occupant,my smart home's showers to automatically adjust to my desired water temperature,I'm not wasting water or time trying to find it,
865,,home occupant,"a television playlist to automatically be generated from my streaming services, based on likes and recommendations","view a sequence of shows I enjoy, and will enjoy, without lifting a finger",
866,,home occupant,projected figure to assist me with a click of a remote,i could get any help i need in any room,
867,,home occupant,"a feature to locate commonly misplaced items, phones, glasses, wallets, keys",I can easily locate them,
868,,home occupant,solar windows,I could save energy,
869,,parents,to have high resolution and night vision camera for my baby,I know the second my baby is up and moving,
870,,occupant,an oven that automatically sets the temperature and cooking time,cooking can be optimized.,
871,,daughter,my smart home to have a phrase that my mother can say if she ever needs help,She can easily get assistance if she has a medical emergency,
872,,parent,to know how my kids are in their schools and how their classes are going on live,i know how they study ,
873,,pet owner,to be able to check in with my pets via video and voice,I can rest assured that they are okay throughout the day,
874,,home owner,smart locks,small children cannot get into cabinets,
875,,home occupant,to be able to monitor carbon monoxide levels,it is safe inside the house,
876,,home occupant,face recognizing software,the house would unlock when they see you,
877,,cook,LED touchscreen displays,cooking can be optimized.,
878,,home occupant,"lights that automatically dim and shut off, after there is no movement in the room for a period of time",I can conserve energy,
879,,home occupant,to play my favorite music wirelessly ,I can enjoy without having to move,
880,,home owner,my daily purchase of home needs monitored and done automatically with the help of mobile application ,i can save time,
881,,parent,"the chore board to be manageable by my smartphone, to send notifications to my children, and to lock them out from certain activities on their smartphones before the chores have been completed and verified by me",the kids do their chores,
882,,home occupant,house cookerchef,the house could make your own food for you. ,
883,,home owner,gourmet recipe banks in the ovens,i never go hungry,
884,,home occupant,my smart home to alert my family when there is bad weather approaching,they can take the necessary steps to stay safe,
885,,home occupant,to listen to the latest NFL scores,I am up to date. ,
886,,home owner,a thermostat that can be controlled from my smartphone,im never cold or hot,
887,,home occupant,voice recognition software,so only I could ask for demands from the house ,
888,,home owner,optimized lighting system,people think we are home,
889,,home occupant,Handprint recognition on the front door,I wouldnt need keys in case the face recognition isnt working right,
890,,home owner,light bulbs that double down as speakers,i can listen to music in cool places,
891,,home occupant,to have feedback on my brushing technique,I have healthy teeth,
892,,home owner,fridge with a built in cooling system,food stays fresh longer,
893,,home occupant,a feature in the fridge that states when we are running low on items,i would know when to buy more,
894,,home owner,an alarm system that i can monitor anywhere,i can make sure everyone is safe,
895,,home occupant,"my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects",I can attend simulated concerts at home,
896,,home owner,to know the weather condition automatically to my mobile ,i can know how should i travel to my office ,
897,,home owner,motion sensors,i can track movement,
898,,home occupant,"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online",I know what to wear every day,
899,,home owner,store and control rain water and water all my plants with the help of technology ,i save water and plants,
900,,home occupant,a feature for dimmed lighting and soft music,I can relax and enjoy my downtime without much effort,
901,,parent,"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs",I know my children are safe and behaving,
902,,home occupant,"televisions that are made into the house, without cords showing",there is less mess and less danger for children,
903,,home occupant,"a built in ""SIRI"" like assistant","i can easily organize all events, without having to keep up with a planner, and ask random questions to",
904,,home occupant,"to be able to lock and unlock my doors from any location, from my phone","i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare",
905,,pet owner,my pet's food and water automatically refilled while I'm away,I can travel without worrying that my pets are fed or thirsty,
906,,home occupant,My smart home to set reminders to start laundry and alerts when laundry is done.,I do not forget to do the laundry in order to have fresh clothes.,
907,,parent,videos that monitor the inside of my home,I can view my teenage child's activities while I'm away on vacation or on business,
908,,home occupant,To be Alerted with a sound when the garage is opened.,I can know who is going in and out of the garage.,
909,,home owner,my refrigerator and freezer temperature monitored,"I don't have to worry about food contamination, spoilage or inadequate food storage",
910,,pet owner,to be alerted when pets leave the home throught the doggy door,I can know what my pets are up to. ,
911,,home owner,to be alerted when the doors leading into my home are opened while I'm away,I wouldn't have to worry about intruders when I travel and am away from my home,
912,,home owner,my smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible,
913,,pet owner, my smart home to automatically refill the pet's water and food bowl through an automated system,I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them..,
914,,home occupant,the temperature automatically adjusted inside my home when there are external changes in temperature to compensate,I can be comfortable without having to adjust temperatures manually,
915,,home occupant,my smart home to shut off lights when I leave the room,I can save on my energy bill.,
916,,"a command kitchen that controls appliances by voice,", I can remote activate anything even not in the kitchen,Energy,
917,,parent,the door to record the time of day or night it is opened,I can know what time my teenager comes home without having to stay up for him or her,
918,,environmentalist,my smart home to control water intake by alerting me when I go above my set use.,I can save on the water bill and help the environment. ,
919,,home owner, The oven to talk with basic information,Cooking can be done properly.,
920,,home occupant,air purity controller,it detects pollution and sensors get active,
921,,parent,to know when my kids come home by alerting me.,I know where my kids are.,
922,,son,"my elderly parent's vital signs monitored, for example heart rate, how long the person has been sitting, lying down or immobile",So that I can be alerted if something happened to them while I'm at work,
923,,person with back problems,"to be able to voice activate lights, television, radio in my home",I don't have to get up when I am in pain,
924,,home owner," Room thermostat sensor,",The room is optimal temperature for an occupant .,
925,,home occupant,my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices,I can set timers from anywhere and take care of my garden,
926,,home occupant,"my smart phone to come with an app that whenever someone rings the doorbell, I can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house,", we can know who is at the door more securely and be ahead of any possible problems,
